1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
8.90E+01,1.08E+02,1.17E+02,1.00E+02,1.52E+02,1.05E+02,1.60E+02,3.80E+01,1.34E+02,8.20E+01,1.22E+02,8.00E+00,5.30E+01,1.25E+02,7.50E+01,4.50E+01,1.41E+02,1.37E+02,1.09E+02,6.50E+01,9.10E+01,1.21E+02,4.70E+01,2.07E+02,7.50E+01,1.22E+02,-9.99E+02,1.42E+02,8.40E+01,1.08E+02,-9.99E+02,-9.99E+02,-9.99E+02,-9.99E+02,-9.99E+02
3.00E+01,5.30E+01,1.47E+02,6.00E+01,1.45E+02,4.60E+01,1.42E+02,3.30E+01,4.20E+01,4.80E+01,1.18E+02,1.47E+02,1.47E+02,3.20E+01,6.80E+01,4.50E+01,1.45E+02,4.80E+01,4.70E+01,5.00E+01,1.26E+02,4.50E+01,5.20E+01,1.51E+02,4.60E+01,1.60E+02,4.80E+01,1.57E+02,1.70E+02,1.42E+02,1.58E+02,1.67E+02,1.70E+02,1.43E+02,1.52E+02
4.80E+01,1.26E+02,1.10E+02,1.08E+02,1.52E+02,1.08E+02,1.20E+02,7.00E+01,9.00E+01,1.08E+02,1.03E+02,1.00E+00,1.04E+02,2.80E+01,5.90E+01,1.35E+02,1.29E+02,1.22E+02,1.40E+02,5.40E+01,7.00E+01,1.50E+02,5.50E+01,6.90E+01,8.30E+01,1.43E+02,1.26E+02,1.67E+02,1.64E+02,1.46E+02,1.28E+02,-9.99E+02,1.59E+02,-9.99E+02,7.20E+01
5.40E+01,1.30E+02,6.10E+01,9.60E+01,7.00E+01,7.50E+01,6.80E+01,3.90E+01,5.20E+01,5.40E+01,9.80E+01,4.20E+01,3.20E+01,4.20E+01,3.70E+01,5.60E+01,6.20E+01,9.10E+01,1.43E+02,5.40E+01,5.70E+01,3.60E+01,3.00E+01,4.80E+01,5.60E+01,8.70E+01,5.80E+01,5.20E+01,1.60E+01,4.30E+01,1.23E+02,1.32E+02,8.50E+01,1.42E+02,-9.99E+02
2.80E+01,5.60E+01,3.60E+01,3.30E+01,4.10E+01,5.90E+01,6.70E+01,3.30E+01,1.29E+02,3.90E+01,1.21E+02,6.00E+01,8.20E+01,3.20E+01,4.30E+01,4.40E+01,4.70E+01,3.70E+01,5.80E+01,3.90E+01,4.40E+01,1.62E+02,4.90E+01,1.29E+02,4.30E+01,1.32E+02,5.20E+01,1.48E+02,5.80E+01,1.00E+02,4.20E+01,1.64E+02,3.20E+01,1.47E+02,3.30E+01
4.30E+01,1.02E+02,7.90E+01,1.07E+02,1.08E+02,5.80E+01,1.09E+02,4.40E+01,3.90E+01,1.09E+02,1.07E+02,1.24E+02,8.40E+01,4.70E+01,3.20E+01,4.90E+01,9.30E+01,1.19E+02,2.30E+01,3.40E+01,5.50E+01,5.30E+01,6.10E+01,6.80E+01,5.60E+01,9.40E+01,6.70E+01,4.80E+01,5.00E+01,5.40E+01,5.00E+01,1.52E+02,8.00E+01,-9.99E+02,1.23E+02
5.10E+01,7.40E+01,7.40E+01,6.10E+01,6.00E+01,1.17E+02,6.80E+01,3.70E+01,1.54E+02,4.20E+01,7.40E+01,1.53E+02,4.00E+01,1.36E+02,5.40E+01,4.20E+01,4.20E+01,4.40E+01,5.10E+01,4.90E+01,3.50E+01,5.10E+01,2.90E+01,1.02E+02,5.20E+01,1.53E+02,1.53E+02,1.61E+02,1.54E+02,1.48E+02,1.48E+02,1.58E+02,1.46E+02,1.61E+02,1.55E+02
3.20E+01,5.40E+01,7.00E+01,4.90E+01,7.90E+01,4.20E+01,1.12E+02,3.80E+01,3.80E+01,4.90E+01,1.21E+02,4.90E+01,5.10E+01,3.50E+01,5.80E+01,5.20E+01,6.50E+01,4.50E+01,3.50E+01,4.90E+01,6.90E+01,3.50E+01,7.70E+01,5.50E+01,4.60E+01,8.80E+01,6.50E+01,1.42E+02,4.60E+01,3.60E+01,4.70E+01,1.23E+02,5.30E+01,4.40E+01,3.80E+01
2.70E+01,7.40E+01,1.56E+02,6.00E+01,1.02E+02,6.90E+01,4.30E+01,4.10E+01,1.59E+02,5.00E+01,1.21E+02,1.60E+02,5.20E+01,4.70E+01,5.00E+01,5.30E+01,1.81E+02,6.80E+01,7.20E+01,5.80E+01,1.40E+02,1.58E+02,4.40E+01,1.64E+02,4.50E+01,5.50E+01,7.40E+01,1.58E+02,6.20E+01,4.20E+01,6.90E+01,1.72E+02,1.72E+02,-9.99E+02,-9.99E+02
3.40E+01,6.10E+01,4.90E+01,4.50E+01,1.14E+02,3.50E+01,7.20E+01,3.70E+01,6.10E+01,4.30E+01,7.40E+01,4.30E+01,6.90E+01,3.60E+01,6.10E+01,4.80E+01,9.70E+01,4.20E+01,4.70E+01,4.60E+01,6.50E+01,3.50E+01,4.90E+01,4.80E+01,6.60E+01,8.00E+01,5.40E+01,3.90E+01,4.20E+01,3.20E+01,4.60E+01,1.66E+02,3.90E+01,1.49E+02,3.70E+01
