ID,coordX,coordY
c_1_block1_bottom,9.25,1
c_2_block1_bottom,3,11.25
c_3_block1_bottom,11,27.25
g_1_block1_bottom,13.25,1
g_2_block1_bottom,9.25,11
g_3_block1_bottom,9.25,23
r_1_block1_bottom,17.25,1
r_2_block1_bottom,5.25,11
r_3_block1_bottom,13.25,23
c_1_block1_top,9.25,3
c_2_block1_top,1,11.25
c_3_block1_top,9,27.25
g_1_block1_top,13.25,3
g_2_block1_top,9.25,13
g_3_block1_top,9.25,25
r_1_block1_top,17.25,3
r_2_block1_top,5.25,13
r_3_block1_top,13.25,25
c_1_block2_bottom,10.75,1
c_2_block2_bottom,3,12.75
c_3_block2_bottom,11,28.75
g_1_block2_bottom,14.75,1
g_2_block2_bottom,10.75,11
g_3_block2_bottom,10.75,23
r_1_block2_bottom,18.75,1
r_2_block2_bottom,6.75,11
r_3_block2_bottom,14.75,23
c_1_block2_top,10.75,3
c_2_block2_top,1,12.75
c_3_block2_top,9,28.75
g_1_block2_top,14.75,3
g_2_block2_top,10.75,13
g_3_block2_top,10.75,25
r_1_block2_top,18.75,3
r_2_block2_top,6.75,13
r_3_block2_top,14.75,25
